id,start_time,end_time,lat,lon,median_distance_km,median_speed_knots,vessel_1_id,vessel_1_type,vessel_1_tileset,vessel_2_id,vessel_2_type,vessel_2_tileset
id-2865420084882928989,2012-03-28 17:10:00 UTC,2012-03-29 05:50:00 UTC,68.87193511644999,44.904935785250004,0.0277383512,0.11333063360000001,9ce4d61b-394f-c237-8f56-34f82dae03f2,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-d5d0-98ebac8583fd,reefers,gfw-tasks-658-reefer-uvi-v2
id-2053693557906875598,2012-04-23 17:00:00 UTC,2012-04-23 20:10:00 UTC,74.626501772299989,17.92589964785,0.0211648096,1.83742378185,9ce4d61b-394f-c237-33a4-82a3e7803a7e,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-9fca-ee29c8212b9c,reefers,gfw-tasks-658-reefer-uvi-v2
id--3470614684278921478,2012-07-04 06:00:00 UTC,2012-07-04 11:30:00 UTC,-5.0335534651,-177.7746789856,0.100621077,0.9269903094,9ce4d61b-394f-c237-62ca-f3ab224a55c0,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-6d41-71dfc90d9dfa,reefers,gfw-tasks-658-reefer-uvi-v2
id-3965429608021763226,2012-02-16 11:40:00 UTC,2012-02-16 15:20:00 UTC,-46.6188048239,-60.7821644437,0.0408197603,0.7672313816,9ce4d61b-394f-c237-1575-8c017ad79e4b,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-a13e-5ddcdb47f62,reefers,gfw-tasks-658-reefer-uvi-v2
id-890182258200057923,2012-04-01 10:30:00 UTC,2012-04-01 16:40:00 UTC,8.7546216164,-15.5223556373,0.0294419643,0.6260449051,9ce4d61b-394f-c237-6c39-2fad34f17b83,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-da75-734eae1124ec,reefers,gfw-tasks-658-reefer-uvi-v2
id--3532165015967683984,2012-02-13 12:40:00 UTC,2012-02-13 23:40:00 UTC,77.525074142734852,14.717137439104546,0.0250616616,0.00392080495,9ce4d61b-394f-c237-b92d-357edfbbc97e,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-c612-f2aad5440cf1,reefers,gfw-tasks-658-reefer-uvi-v2
id-2426272829919416512,2012-07-13 22:20:00 UTC,2012-07-14 09:30:00 UTC,61.4048959368968,179.14365858215038,0.03894697945,0.60063522159999994,9ce4d61b-394f-c237-7913-0e5ba04d257a,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-fd58-0ec5b7c5c9e7,reefers,gfw-tasks-658-reefer-uvi-v2
id-3304989933475622152,2012-12-13 05:30:00 UTC,2012-12-13 11:00:00 UTC,-12.182583574636956,63.164221984747826,0.028495696600000002,0.46673765015,9ce4d61b-394f-c237-3345-8976d17db053,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-a304-3028f22e2d51,reefers,gfw-tasks-658-reefer-uvi-v2
id-600040276000826449,2012-08-11 05:10:00 UTC,2012-08-13 04:40:00 UTC,3.1016660445176165,172.78140410718393,0.1530134189,0,9ce4d61b-394f-c237-84db-337f3ee71ed4,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-fed5-59356a42a85a,reefers,gfw-tasks-658-reefer-uvi-v2
id-1209329489631366385,2012-07-10 17:50:00 UTC,2012-07-10 21:30:00 UTC,0.1519831742,-118.82654355625002,0.0090063592,1.46842702575,9ce4d61b-394f-c237-93ba-0bba865266d,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-eb22-2be07981b523,reefers,gfw-tasks-658-reefer-uvi-v2
